index,age,income,purchase_count,total_spent,satisfaction_score
age,1.0,0.20472534518677682,0.027177751363633,0.06811587292618607,0.00933310389613784
income,0.20472534518677682,1.0,0.1393936616559606,0.3412665054302065,0.0061245778700648205
purchase_count,0.027177751363633,0.1393936616559606,1.0,0.7478063201735846,-0.005606790041871599
total_spent,0.06811587292618607,0.3412665054302065,0.7478063201735846,1.0,0.0013214804077616349
satisfaction_score,0.00933310389613784,0.0061245778700648205,-0.005606790041871599,0.0013214804077616349,1.0
